,hotel_names,city_names,counrtys,contenantels,ratings,reviews
152,ibis Hamilton Tainui,"north island, new zealand",new zealand,australia pacific,(4.0),1126
153,Sofitel Wellington,"north island, new zealand",new zealand,australia pacific,(4.5),667
154,SO/ Auckland,"north island, new zealand",new zealand,australia pacific,(4.0),281
155,The Sebel Wellington Lower Hutt,"north island, new zealand",new zealand,australia pacific,(3.5),10
156,Novotel Auckland Airport,"north island, new zealand",new zealand,australia pacific,(4.5),5487
157,ibis Wellington,"north island, new zealand",new zealand,australia pacific,(4.0),2688
158,Mercure Auckland Queen Street,"north island, new zealand",new zealand,australia pacific,(3.5),49
159,ellerslie,"north island, new zealand",new zealand,australia pacific,nan,
160,auckland,"north island, new zealand",new zealand,australia pacific,nan,
161,hamilton,"north island, new zealand",new zealand,australia pacific,nan,
162,new plymouth,"north island, new zealand",new zealand,australia pacific,nan,
163,pauanui,"north island, new zealand",new zealand,australia pacific,nan,
164,rotorua,"north island, new zealand",new zealand,australia pacific,nan,
165,wellington,"north island, new zealand",new zealand,australia pacific,nan,
166,Mercure Darwin Airport Resort,northern territory,australia,australia pacific,(3.5),934
167,Novotel Darwin Airport,northern territory,australia,australia pacific,(3.5),490
168,Emu Walk Apartments,northern territory,australia,australia pacific,(4.0),1430
169,Mercure Alice Springs Resort,northern territory,australia,australia pacific,(4.0),1570
170,Mantra on the Esplanade Darwin,northern territory,australia,australia pacific,(4.0),2458
171,Mercure Kakadu Crocodile Hotel,northern territory,australia,australia pacific,(3.5),1784
172,Sails in the Desert - A member of Pullman Hotels,northern territory,australia,australia pacific,(4.0),4768
173,The Lost Camel Hotel - A member of Mercure Hotels,northern territory,australia,australia pacific,(4.0),409
174,Novotel Darwin CBD,northern territory,australia,australia pacific,(3.5),1783
175,Outback Hotel & Lodge - A member of ibis Styles,northern territory,australia,australia pacific,(3.5),3020
176,Desert Gardens - A member of Novotel Hotels,northern territory,australia,australia pacific,(4.0),4022
177,Mantra Pandanas Darwin,northern territory,australia,australia pacific,(4.0),1399
