,hotel_names,city_names,counrtys,contenantels,ratings,reviews
799,ibis Styles Montbeliard Centre Velotte,franche-comte,france,europe,(4.5),351
800,Mercure Luxeuil Les Bains Hexagone Hotel,franche-comte,france,europe,(3.5),278
801,ibis Besançon Centre Ville,franche-comte,france,europe,(4.5),639
802,doubs,franche-comte,france,europe,nan,
803,haute-saone,franche-comte,france,europe,nan,
804,jura,franche-comte,france,europe,nan,
805,territoire de belfort,franche-comte,france,europe,nan,
806,ibis Nancy Brabois,lorraine,france,europe,(4.0),526
807,ibis Styles Nancy West Laxou,lorraine,france,europe,nan,
808,ibis Saint Dizier,lorraine,france,europe,(4.0),328
809,hotelF1 Verdun,lorraine,france,europe,(3.0),48
810,Mercure Nancy Centre Place Stanislas Hotel,lorraine,france,europe,(4.0),488
811,hotelF1 Merlebach Saarbruck,lorraine,france,europe,(2.5),21
812,ibis Saint Die des Vosges,lorraine,france,europe,(3.5),250
813,Mercure Vittel Hotel,lorraine,france,europe,(4.5),411
814,Ibis budget Forbach Centre,lorraine,france,europe,nan,
815,hotelF1 Epinal Nord,lorraine,france,europe,(3.5),20
816,hotelF1 Remiremont Saint Nabord,lorraine,france,europe,(2.5),26
817,hotelF1 Nancy Sud,lorraine,france,europe,(2.0),27
818,meurthe-et-moselle,lorraine,france,europe,nan,
819,meuse,lorraine,france,europe,nan,
820,moselle,lorraine,france,europe,nan,
821,vosges,lorraine,france,europe,nan,
822,ibis Styles Toulouse Blagnac Airport,midi-pyrenees,france,europe,(3.5),390
823,ibis budget Rodez,midi-pyrenees,france,europe,(4.0),444
824,Mercure Figeac Viguier du Roy,midi-pyrenees,france,europe,(4.5),204
825,Mercure Toulouse Centre Saint-Georges Hotel,midi-pyrenees,france,europe,(4.0),981
826,ibis Lourdes Centre Gare,midi-pyrenees,france,europe,(4.0),723
827,Hotel Mercure Saint-Lary,midi-pyrenees,france,europe,(4.5),757
828,ibis budget Toulouse Airport,midi-pyrenees,france,europe,(3.5),747
829,ibis Styles Montauban,midi-pyrenees,france,europe,nan,
830,ibis Toulouse Centre,midi-pyrenees,france,europe,(4.0),1333
831,Mercure Toulouse Aéroport Golf de Seilh Hotel,midi-pyrenees,france,europe,(4.0),640
832,Novotel Toulouse Centre Compans Caffarelli,midi-pyrenees,france,europe,(4.0),1153
833,Mercure Toulouse Sud hotel,midi-pyrenees,france,europe,(4.5),249
834,aveyron,midi-pyrenees,france,europe,nan,
835,gers,midi-pyrenees,france,europe,nan,
836,haute-garonne,midi-pyrenees,france,europe,nan,
837,hautes-pyrenees,midi-pyrenees,france,europe,nan,
838,lot,midi-pyrenees,france,europe,nan,
839,tarn,midi-pyrenees,france,europe,nan,
840,tarn-et-garonne,midi-pyrenees,france,europe,nan,
841,ibis budget Strasbourg la Vigie,alsace,france,europe,(3.0),435
842,Mercure Strasbourg Centre Hotel,alsace,france,europe,(4.0),1039
843,Mercure Strasbourg Centre Gare Hotel,alsace,france,europe,(3.5),541
844,ibis budget Strasbourg Centre Gare,alsace,france,europe,(3.5),966
845,Hôtel Cour du Corbeau Strasbourg-MGallery,alsace,france,europe,(4.5),2345
846,ibis Styles Strasbourg Avenue du Rhin,alsace,france,europe,(4.0),625
847,hotelF1 Saverne Monswiller,alsace,france,europe,(3.0),40
848,ibis Styles Strasbourg Centre Gare,alsace,france,europe,(4.0),851
849,ibis Colmar Centre,alsace,france,europe,(3.5),1231
850,ibis Strasbourg Centre Petite France,alsace,france,europe,(3.5),1111
851,hotelF1 Colmar Parc des Expositions,alsace,france,europe,(2.0),107
852,ibis budget Sélestat,alsace,france,europe,(4.0),497
853,bas-rhin,alsace,france,europe,nan,
854,haut-rhin,alsace,france,europe,nan,
855,ibis Styles Bordeaux Meriadeck,aquitania,france,europe,(3.5),1057
856,ibis budget Bordeaux Centre Gare Saint Jean,aquitania,france,europe,(3.5),1125
857,ibis budget Libourne,aquitania,france,europe,(3.5),331
858,ibis Styles Perigueux Trelissac,aquitania,france,europe,(3.0),609
859,Aparthotel Adagio Bordeaux Gambetta,aquitania,france,europe,(4.0),1344
860,ibis Bordeaux Lac,aquitania,france,europe,(4.0),1257
861,ibis Sarlat,aquitania,france,europe,(4.0),1361
862,greet Hotel Bordeaux Floirac Arena,aquitania,france,europe,nan,
863,ibis Ciboure Saint Jean de Luz,aquitania,france,europe,(4.0),1096
864,Mercure Bordeaux Château Chartrons Hotel,aquitania,france,europe,(3.5),1169
865,Hotel Mercure Villeneuve-sur-Lot-Le Moulin de Madame,aquitania,france,europe,(4.5),508
866,Hôtel Mercure Bayonne Centre Le Grand Hotel,aquitania,france,europe,(4.0),298
867,dordogne,aquitania,france,europe,nan,
868,gironde,aquitania,france,europe,nan,
869,landes,aquitania,france,europe,nan,
870,lot-et-garonne,aquitania,france,europe,nan,
871,pyrenees-atlantiques,aquitania,france,europe,nan,
872,Mercure Aberdeen Caledonian Hotel,aberdeen,united kingdom,europe,(4.0),1372
873,ibis Aberdeen Centre - Quayside,aberdeen,united kingdom,europe,(4.0),1352
874,Mercure Ayr Hotel,ayr,united kingdom,europe,(3.5),1051
875,ibis budget London Barking,barking and dagenham,united kingdom,europe,(3.0),655
876,ibis London Barking,barking and dagenham,united kingdom,europe,(3.5),644
877,ibis Styles Barnsley,barnsley,united kingdom,europe,(4.0),920
878,Mercure Barnsley Tankersley Manor Hotel,barnsley,united kingdom,europe,nan,
879,Mercure Winchester Wessex Hotel,basingstoke,united kingdom,europe,(3.5),2276
880,ibis Bristol Temple Meads Quay,bath,united kingdom,europe,(4.0),1670
881,Novotel Bristol Centre,bath,united kingdom,europe,(4.0),1878
882,Mercure Bristol Holland House,bath,united kingdom,europe,(3.5),3518
883,Mercure Bristol Brigstow Hotel,bath,united kingdom,europe,(4.0),2123
884,ibis Bristol Centre,bath,united kingdom,europe,(4.0),2003
885,Mercure Bedford Centre Hotel,bedford,united kingdom,europe,(4.5),181
886,ibis Belfast City Centre,belfast,united kingdom,europe,(4.0),2561
887,ETAP Belfast,belfast,united kingdom,europe,(3.5),1914
888,ibis Belfast Queens Quarter,belfast,united kingdom,europe,(4.0),1182
889,Aparthotel Adagio Liverpool City Centre,birkenhead,united kingdom,europe,(4.5),791
890,Aparthotel Adagio Birmingham City Centre,birmingham,united kingdom,europe,(4.5),510
891,ibis Birmingham New Street Station,birmingham,united kingdom,europe,(3.5),2477
892,ibis Styles Birmingham Centre,birmingham,united kingdom,europe,(4.0),1706
893,ibis budget Birmingham Centre,birmingham,united kingdom,europe,(3.5),2661
894,Novotel Birmingham Centre,birmingham,united kingdom,europe,(4.0),2160
895,ibis Birmingham Bordesley Circus,birmingham,united kingdom,europe,(3.5),626
896,ibis Styles Birmingham Hagley Road,birmingham,united kingdom,europe,(4.0),380
897,Mercure Birmingham West Hotel,birmingham,united kingdom,europe,(4.5),235
898,ibis Styles Birmingham Oldbury,birmingham,united kingdom,europe,(4.5),280
899,Novotel Birmingham Airport,birmingham,united kingdom,europe,(4.0),4011
900,ibis budget Birmingham Airport - NEC,birmingham,united kingdom,europe,(4.0),2179
901,ibis Birmingham Airport - NEC,birmingham,united kingdom,europe,(4.0),2641
902,Mercure Blackburn Dunkenhalgh Hotel & Spa,blackburn,united kingdom,europe,(4.0),481
903,Mercure Bolton Georgian House Hotel,bolton,united kingdom,europe,(4.0),1038
904,Mercure Blackburn Dunkenhalgh Hotel & Spa,bolton,united kingdom,europe,(4.0),481
905,Hôtel Mercure Andorra,andorra la vella,andorra,europe,(3.5),669
906,Novotel Andorra,andorra la vella,andorra,europe,(4.0),883
907,Mövenpick Hotel Lalez Durres,durrës,albania,europe,(4.0),30
908,ibis Yerevan Center,yerevan,armenia,europe,(4.5),556
909,ibis Styles Graz Messe,styria,austria,europe,nan,
910,ibis budget Graz City,styria,austria,europe,(3.0),536
911,Hotel Mercure Graz City,styria,austria,europe,(4.0),1048
912,graz,styria,austria,europe,nan,
913,ibis budget Salzburg Airport,salzburg - land,austria,europe,(3.5),468
914,Hotel Mercure Salzburg City,salzburg - land,austria,europe,(4.0),1497
915,wals-siezenheim,salzburg - land,austria,europe,nan,
916,himmelreich,salzburg - land,austria,europe,nan,
917,salzburg,salzburg - land,austria,europe,nan,
918,ibis Styles Wien Messe Prater,vienna - land-austria,austria,europe,(4.0),238
919,Mercure Hotel Raphael Wien,vienna - land-austria,austria,europe,(4.0),606
920,ibis Vienna Airport,vienna - land-austria,austria,europe,(3.5),245
921,Hotel Mercure Wien Westbahnhof,vienna - land-austria,austria,europe,(3.5),1390
922,Hotel Mercure Wien Zentrum,vienna - land-austria,austria,europe,(4.0),1913
923,25hours Hotel Vienna at MuseumsQuartier,vienna - land-austria,austria,europe,(4.5),3088
924,ibis budget Wien Sankt Marx,vienna - land-austria,austria,europe,(3.5),1334
925,ibis Wien City,vienna - land-austria,austria,europe,(4.0),1146
926,Mercure Grand Hotel Biedermeier Wien,vienna - land-austria,austria,europe,(4.0),1712
927,greet Vienna City North,vienna - land-austria,austria,europe,(4.5),4
928,Novotel Wien City,vienna - land-austria,austria,europe,(4.0),1899
929,ibis Styles Wien City,vienna - land-austria,austria,europe,(4.5),1738
930,schwechat,vienna - land-austria,austria,europe,nan,
931,vienna,vienna - land-austria,austria,europe,nan,
932,ibis Woerthersee,carinthia,austria,europe,(4.0),188
933,Ibis Styles Klagenfurt am Woerthersee,carinthia,austria,europe,nan,
934,techelsberg,carinthia,austria,europe,nan,
935,klagenfurt,carinthia,austria,europe,nan,
936,ibis Styles Linz,upper austria,austria,europe,(4.0),783
937,ibis Wels,upper austria,austria,europe,(4.5),18
938,linz,upper austria,austria,europe,nan,
939,wels,upper austria,austria,europe,nan,
940,Grand Hotel Bregenz - MGallery,vorarlberg,austria,europe,(4.0),263
941,ibis Bregenz,vorarlberg,austria,europe,(4.0),769
942,ibis Friedrichshafen Airport Messe,vorarlberg,austria,europe,(4.0),426
943,bregenz,vorarlberg,austria,europe,nan,
944,ibis Styles Parndorf Neusiedler,burgenland,austria,europe,nan,
945,parndorf,burgenland,austria,europe,nan,
946,ibis Innsbruck,tyrol,austria,europe,(4.0),1552
947,innsbruck,tyrol,austria,europe,nan,
948,Mercure Baku City,baku,azerbaijan,europe,nan,
949,Fairmont Baku - Flame Towers,baku,azerbaijan,europe,(4.5),2110
950,ibis Baku City,baku,azerbaijan,europe,(5.0),23
951,Swissôtel Sarajevo,sarajevo,bosnia and herzegovina,europe,(4.0),92
952,Novotel Sarajevo Bristol,sarajevo,bosnia and herzegovina,europe,(4.5),511
953,ibis Styles Sarajevo,sarajevo,bosnia and herzegovina,europe,(4.0),77
954,Tarcin Forest Resort & Spa Sarajevo - MGallery,sarajevo,bosnia and herzegovina,europe,(4.5),98
955,ibis Antwerpen Centrum,antwerp,belgium,europe,(3.5),1397
956,Mercure Antwerp City Centre,antwerp,belgium,europe,(4.0),1093
957,ibis budget Antwerpen Centraal Station,antwerp,belgium,europe,(3.5),1364
958,Aparthotel Adagio Antwerp City Center,antwerp,belgium,europe,nan,
959,Mercure Antwerp City South,antwerp,belgium,europe,(4.0),1000
960,ibis budget Antwerpen Port,antwerp,belgium,europe,(3.5),383
961,Novotel Antwerpen,antwerp,belgium,europe,(3.5),725
962,ibis Sint Niklaas Centrum,antwerp,belgium,europe,(4.0),325
963,Novotel Mechelen Centrum,antwerp,belgium,europe,(4.0),758
964,antwerp zoo,antwerp,belgium,europe,nan,
965,meir,antwerp,belgium,europe,nan,
966,plantin-moretus museum,antwerp,belgium,europe,nan,
967,aquatopia,antwerp,belgium,europe,nan,
968,mas - museum aan de stroom,antwerp,belgium,europe,nan,
969,port of antwerp,antwerp,belgium,europe,nan,
970,red star line museum,antwerp,belgium,europe,nan,
971,antwerp-centraal railway station,antwerp,belgium,europe,nan,
972,ibis Styles Arlon Porte du Luxembourg,arlon,belgium,europe,nan,
973,ibis Mons Centre Gare,ath,belgium,europe,(3.5),456
974,ibis budget Blankenberge,blankenberge,belgium,europe,(3.5),212
975,Hotel Mercure Blankenberge Station,blankenberge,belgium,europe,(4.0),306
976,ibis Styles Bredene,bredene,belgium,europe,nan,
977,ibis Brugge Centrum,brugge,belgium,europe,(4.0),2880
978,Novotel Brugge Centrum,brugge,belgium,europe,(4.0),3580
979,ibis budget Brugge Centrum Station,brugge,belgium,europe,(4.0),4523
980,brugge railway station,brugge,belgium,europe,nan,
981,beguinage of bruges,brugge,belgium,europe,nan,
982,gruuthusemuseum,brugge,belgium,europe,nan,
983,groeningemuseum,brugge,belgium,europe,nan,
984,basilica of the holy blood,brugge,belgium,europe,nan,
985,belfry of bruges,brugge,belgium,europe,nan,
986,Novotel Brussels off Grand Place,brussels,belgium,europe,(4.0),3469
987,ibis Brussels off Grand Place,brussels,belgium,europe,(4.0),3806
988,Aparthotel Adagio Brussels Grand Place,brussels,belgium,europe,(4.0),1548
989,Novotel Brussels City Centre,brussels,belgium,europe,(4.0),3721
990,ibis Brussels City Centre,brussels,belgium,europe,(3.5),3542
991,Le Louise Hotel Brussels - MGallery,brussels,belgium,europe,(4.5),131
992,Hotel Mercure Brussels Centre Midi,brussels,belgium,europe,(4.0),989
993,Adagio Access Brussels Europe Aparthotel,brussels,belgium,europe,(4.0),1054
994,Novotel Brussels Centre Midi Station,brussels,belgium,europe,(4.0),1074
995,ibis Brussels Centre Gare Midi,brussels,belgium,europe,(3.5),2560
996,Pullman Brussels Centre Midi,brussels,belgium,europe,(4.5),2377
997,ibis Styles Brussels Centre Stephanie,brussels,belgium,europe,(4.0),811
998,avenue louise,brussels,belgium,europe,nan,
999,uccle,brussels,belgium,europe,nan,
1000,marolles,brussels,belgium,europe,nan,
1001,european parliament,brussels,belgium,europe,nan,
1002,ancienne belgique,brussels,belgium,europe,nan,
1003,manneken pis,brussels,belgium,europe,nan,
1004,place sainte-catherine,brussels,belgium,europe,nan,
1005,brussels-north railway station,brussels,belgium,europe,nan,
1006,laeken,brussels,belgium,europe,nan,
1007,atomium,brussels,belgium,europe,nan,
1008,vilvoorde,brussels,belgium,europe,nan,
1009,royal palace of madrid,brussels,belgium,europe,nan,
1010,Novotel Charleroi Centre,charleroi,belgium,europe,(4.0),262
1011,ibis Charleroi Centre Gare,charleroi,belgium,europe,(3.5),573
1012,Aero44 Hotel Charleroi Airport,charleroi,belgium,europe,nan,
1013,ibis budget Charleroi Airport,charleroi,belgium,europe,(3.5),990
1014,brussels south charleroi airport,charleroi,belgium,europe,nan,
1015,ibis Dinant Centre,ciney,belgium,europe,(4.0),1113
1016,ibis De Haan,de haan,belgium,europe,(4.0),472
1017,ibis De Panne,de panne,belgium,europe,(4.0),757
1018,ibis Dunkerque Centre,de panne,belgium,europe,(3.5),840
1019,ibis Dinant Centre,dinant,belgium,europe,(4.0),1113
1020,Pullman Okol Golf Resort & Spa,gorni okol,bulgaria,europe,nan,
1021,The Emporium Plovdiv - MGallery,plovdiv,bulgaria,europe,(4.5),19
1022,Maison Sofia - MGallery,sofia,bulgaria,europe,(4.0),366
1023,ibis Sofia Airport,sofia,bulgaria,europe,(3.5),575
1024,Novotel Sofia,sofia,bulgaria,europe,(4.5),1049
1025,ibis Styles Golden Sands Roomer Hotel,varna,bulgaria,europe,(4.5),17
1026,ibis Baar Zug,baar,switzerland,europe,(3.5),395
1027,ibis Baden Neuenhof,baden,switzerland,europe,(4.0),80
1028,Aparthotel Adagio Basel City,basel,switzerland,europe,(4.0),443
1029,Pullman Basel Europe,basel,switzerland,europe,(4.5),1130
1030,Movenpick Hotel Basel,basel,switzerland,europe,nan,
1031,ibis Basel Bahnhof,basel,switzerland,europe,(4.0),1109
1032,Novotel Basel City,basel,switzerland,europe,(4.5),655
1033,ibis budget Basel City,basel,switzerland,europe,(3.5),683
1034,ibis Styles Basel City,basel,switzerland,europe,(4.0),337
1035,Aparthotel Adagio Access Saint Louis Bâle,basel,switzerland,europe,(3.5),475
1036,ibis Airport Bâle Mulhouse,basel,switzerland,europe,(4.0),347
1037,ibis budget Basel Pratteln,basel,switzerland,europe,(3.5),429
1038,Swissôtel Kursaal Bern,bern,switzerland,europe,nan,
1039,ibis Styles Bern City,bern,switzerland,europe,(4.5),15
1040,ibis budget Bern Expo,bern,switzerland,europe,(3.5),777
1041,Novotel Bern Expo,bern,switzerland,europe,(4.0),1111
1042,ibis Bern Expo,bern,switzerland,europe,(4.0),864
1043,Mercure Plaza Biel,bern,switzerland,europe,(4.0),489
1044,ibis Fribourg,bern,switzerland,europe,(4.0),430
1045,Hotel Royal St Georges Interlaken MGallery,bern,switzerland,europe,(4.0),1119
1046,Mercure Plaza Biel,biel,switzerland,europe,(4.0),489
1047,Novotel Bern Expo,biel,switzerland,europe,(4.0),1111
1048,ibis Bulle la Gruyere,bulle,switzerland,europe,(4.0),413
1049,ibis Chur,chur,switzerland,europe,(4.0),467
1050,Mercure Chur City West,chur,switzerland,europe,(4.0),142
1051,ibis Delémont Delsberg,delemont,switzerland,europe,(4.0),272
1052,Mercure Hotel Delemont,delemont,switzerland,europe,nan,
1053,ibis Winterthur City,frauenfeld,switzerland,europe,(3.5),402
1054,Fribourg Centre Remparts By Mercure,fribourg,switzerland,europe,nan,
1055,Ibis Budget Fribourg,fribourg,switzerland,europe,(3.5),54
1056,ibis Fribourg,fribourg,switzerland,europe,(4.0),430
1057,ibis Bern Expo,fribourg,switzerland,europe,(4.0),864
1058,ibis Fribourg,granges paccot,switzerland,europe,(4.0),430
1059,Hotel Rotary Geneva-MGallery,geneva,switzerland,europe,(4.5),710
1060,ibis Geneve Centre Gare,geneva,switzerland,europe,(3.5),667
1061,Aparthotel Adagio Geneve Mont Blanc,geneva,switzerland,europe,(3.5),350
1062,ibis Genève Centre Lac,geneva,switzerland,europe,(4.0),337
1063,Résidence Studio Genève Centre,geneva,switzerland,europe,(2.5),193
1064,Novotel Genève Centre,geneva,switzerland,europe,(3.5),1700
1065,Fairmont Grand Hotel Geneva,geneva,switzerland,europe,(4.0),1354
1066,ibis Geneve Centre Nations,geneva,switzerland,europe,(4.0),1228
1067,Ibis budget Geneve Aeroport,geneva,switzerland,europe,(3.5),1107
1068,Novotel Suites Geneve Aeroport,geneva,switzerland,europe,(4.0),866
1069,ibis Geneve Petit Lancy,geneva,switzerland,europe,(4.0),676
1070,ibis budget Geneve Petit Lancy,geneva,switzerland,europe,(3.5),620
1071,geneva airport,geneva,switzerland,europe,nan,
1072,lake geneva,geneva,switzerland,europe,nan,
1073,Mercure Larnaca Beach Resort,larnaca,chypre,europe,nan,
1074,Dhawa Ihuru,male,maldives,asia,(5.0),2755
1075,SO/ Maldives,male,maldives,asia,nan,
1076,Banyan Tree Vabbinfaru,male,maldives,asia,(5.0),2682
1077,Angsana Velavaru,male,maldives,asia,(5.0),3752
1078,Mövenpick Resort Kuredhivaru Maldives,male,maldives,asia,(5.0),1085
1079,Mercure Maldives Kooddoo Resort,kooddoo island,maldives,asia,(5.0),849
1080,Mercure Maldives Kooddoo Resort,gaafu alifu atoll,maldives,asia,(5.0),849
1081,Raffles Maldives Meradhoo Resort,meradhoo,maldives,asia,(5.0),789
1082,Fairmont Maldives - Sirru Fen Fushi,shaviyani atoll,maldives,asia,(5.0),980
1083,Pullman Maldives All-Inclusive Resort,maamutaa island,maldives,asia,(5.0),678
1084,Ibis Hefei Pedestrian Street Hotel,anhui,china,asia,nan,
1085,Banyan Tree Huangshan,anhui,china,asia,(5.0),3619
1086,Mercure Hefei City Center,anhui,china,asia,nan,
1087,ibis Bengbu Donghai Ave,anhui,china,asia,nan,
1088,ibis Bengbu Huaihe Rd Railway Station,anhui,china,asia,(4.0),44
1089,Mercure Huangshan East Gate,anhui,china,asia,nan,
1090,Mercure Hefei Sunac,anhui,china,asia,(5.0),104
1091,Pullman Hefei Sunac,anhui,china,asia,(5.0),164
1092,Novotel Hefei Sunac,anhui,china,asia,(5.0),54
1093,ibis Huaibei Nanli Road Hotel,anhui,china,asia,nan,
1094,huaibei,anhui,china,asia,nan,
1095,huangshan,anhui,china,asia,nan,
1096,tongling,anhui,china,asia,nan,
1097,bengbu,anhui,china,asia,nan,
1098,hefei,anhui,china,asia,nan,
1099,Mercure Beijing City Center,beijing - municipality,china,asia,nan,
1100,ibis Beijing Sanlitun Tuanjie Lake Hotel,beijing - municipality,china,asia,(3.5),626
1101,Sofitel Beijing Central,beijing - municipality,china,asia,(5.0),4375
1102,ibis Beijing Jianguomen,beijing - municipality,china,asia,(3.0),103
1103,Pullman Beijing South,beijing - municipality,china,asia,(4.0),534
1104,Novotel Beijing Peace,beijing - municipality,china,asia,(4.0),3808
1105,Grand Mercure Beijing Dongcheng,beijing - municipality,china,asia,(5.0),1093
1106,Swissôtel Beijing Hong Kong Macau Center,beijing - municipality,china,asia,(4.0),1558
1107,ibis Beijing Dacheng Road,beijing - municipality,china,asia,(3.0),20
1108,Mercure Wanshang Beijing,beijing - municipality,china,asia,(4.0),268
1109,Mercure Beijing Anzhen Olympic Center,beijing - municipality,china,asia,nan,
1110,Mercure Beijing Chang An West,beijing - municipality,china,asia,(4.0),23
1111,beijing,beijing - municipality,china,asia,nan,
1112,ibis Chongqing Ranjiaba,chongqing - municipality,china,asia,(3.5),11
1113,Mercure Chongqing Downtown,chongqing - municipality,china,asia,(3.0),7
1114,Banyan Tree Chongqing Beibei,chongqing - municipality,china,asia,(5.0),4960
1115,chongqing,chongqing - municipality,china,asia,nan,
1116,ibis Styles Xiamen Zhongshan Rd Walking Street Hotel,fujian,china,asia,(4.0),90
1117,Grand Mercure Xiamen Downtown,fujian,china,asia,(4.0),48
1118,Ibis Styles Fuzhou Wuyi Square Hotel,fujian,china,asia,(3.5),2
1119,ibis Styles Quanzhou Quanxiu Road Hotel,fujian,china,asia,(4.0),5
1120,Mercure Xiamen On the Bund,fujian,china,asia,nan,
1121,Pullman Shishi Mattison,fujian,china,asia,(4.0),39
1122,Mercure Xiamen Exhibition Centre,fujian,china,asia,(3.5),6
1123,Pullman Xiamen Powerlong,fujian,china,asia,(4.5),437
1124,Pullman Fuzhou Tahoe,fujian,china,asia,(5.0),1886
1125,ibis Xiamen Kaiyuan,fujian,china,asia,(3.5),256
1126,shishi,fujian,china,asia,nan,
1127,fuzhou,fujian,china,asia,nan,
1128,quanzhou,fujian,china,asia,nan,
1129,xiamen,fujian,china,asia,nan,
1130,Ibis Lanzhou Railway Bureau Hotel,gansu,china,asia,nan,
1131,ibis Styles Lintao Xin Jie Hotel,gansu,china,asia,nan,
1132,ibis Lanzhou Peili Square Hotel,gansu,china,asia,nan,
1133,Ibis Lanzhou Square west entrance Hotel,gansu,china,asia,nan,
1134,ibis Lanzhou Wuquan Square,gansu,china,asia,nan,
1135,ibis Styles Lanzhou Wulipu,gansu,china,asia,nan,
1136,Ibis Lanzhou West Railway Station Hotel,gansu,china,asia,nan,
1137,ibis Lanzhou Hi-Tech Dev Zone,gansu,china,asia,nan,
1138,Mercure Lanzhou Dongfanghong,gansu,china,asia,nan,
1139,Ibis Lanzhou Xigu Yumen Street Hotel,gansu,china,asia,nan,
1140,ibis Lanzhou Railway Station,gansu,china,asia,(4.0),79
1141,ibis Lanzhou Dongfanghong Plaza Hotel,gansu,china,asia,nan,
1142,lanzhou,gansu,china,asia,nan,
1143,dunhuang,gansu,china,asia,nan,
1144,jiayuguan,gansu,china,asia,nan,
1145,jiuquan,gansu,china,asia,nan,
1146,pingliang,gansu,china,asia,nan,
1147,zhangye,gansu,china,asia,nan,
1148,tianshui,gansu,china,asia,nan,
1149,lintaodingxi,gansu,china,asia,nan,
1150,longnan,gansu,china,asia,nan,
1151,Pullman Guangzhou Baiyun Airport,guangdong,china,asia,(4.0),2034
1152,Grand Mercure Foshan Country Garden,guangdong,china,asia,(4.5),24
1153,Mercure Guangzhou Tianhe Sports Center,guangdong,china,asia,nan,
1154,Ibis styles Guangzhou Panyu Shiqiao Hotel,guangdong,china,asia,(4.0),23
1155,Novotel Dongguan Songshan Lake,guangdong,china,asia,nan,
1156,Grand Mercure Huizhou Huiyang,guangdong,china,asia,nan,
1157,Novotel Guangzhou Baiyun Airport,guangdong,china,asia,nan,
1158,ibis Styles Dongguan Chang'an Wanda Plaza Hotel,guangdong,china,asia,(3.5),5
1159,Swissôtel Foshan,guangdong,china,asia,(4.5),837
1160,Mercure Shenzhen Futian,guangdong,china,asia,nan,
1161,Mercure Shenzhen Pinghu,guangdong,china,asia,nan,
1162,Mercure Guangzhou Nansha,guangdong,china,asia,nan,
1163,huizhou,guangdong,china,asia,nan,
1164,zhuhai,guangdong,china,asia,nan,
1165,humen,guangdong,china,asia,nan,
1166,chaozhou,guangdong,china,asia,nan,
1167,dongguan,guangdong,china,asia,nan,
1168,foshan,guangdong,china,asia,nan,
1169,guangzhou,guangdong,china,asia,nan,
1170,shantou,guangdong,china,asia,nan,
1171,shenzhen,guangdong,china,asia,nan,
1172,Banyan Tree Yangshuo,guangxi,china,asia,(5.0),9973
1173,Mercure Guilin Hi Tech Zone,guangxi,china,asia,nan,
1174,yangshuo,guangxi,china,asia,nan,
1175,guilin,guangxi,china,asia,nan,
1176,Pullman Guiyang,guizhou,china,asia,(5.0),426
1177,Sofitel Guiyang Hunter,guizhou,china,asia,(5.0),8934
1178,Novotel Guiyang Downtown,guizhou,china,asia,(4.0),222
1179,Novotel Guiyang Panjiang,guizhou,china,asia,(5.0),190
1180,Fairmont Guiyang,guizhou,china,asia,nan,
1181,guiyang,guizhou,china,asia,nan,
1182,Ibis Haikou Injoy Plaza Hotel,hainan,china,asia,nan,
1183,Pullman Oceanview Sanya Bay Resort & Spa,hainan,china,asia,(5.0),4730
1184,Pullman Sanya Yalong Bay Villas & Resort,hainan,china,asia,(4.5),1405
1185,Raffles Hainan Clear Water Bay,hainan,china,asia,(5.0),3573
1186,Fairmont Sanya Haitang Bay,hainan,china,asia,nan,
1187,Sofitel Haikou,hainan,china,asia,nan,
1188,Pullman Haikou,hainan,china,asia,nan,
1189,Sofitel Sanya Leeman Resort,hainan,china,asia,(5.0),5177
1190,Novotel Haikou Xinbudao,hainan,china,asia,(4.0),8
1191,Banyan Tree Sanya,hainan,china,asia,(5.0),4942
1192,sanya,hainan,china,asia,nan,
1193,haikou,hainan,china,asia,nan,
1194,hainan,hainan,china,asia,nan,
1195,Sofitel Xiong An,hebei,china,asia,nan,
1196,Mercure Shijiazhuang East Yuhua Road,hebei,china,asia,nan,
1197,Mercure Qinhuangdao Downtown,hebei,china,asia,nan,
1198,Mercure Shijiazhuang Downtown,hebei,china,asia,nan,
1199,Mercure Shijiazhuang City Center,hebei,china,asia,nan,
1200,Pullman Tangshan,hebei,china,asia,(5.0),1262
1201,baoding,hebei,china,asia,nan,
1202,qinhuangdao,hebei,china,asia,nan,
1203,shijiazhuang,hebei,china,asia,nan,
1204,tangshan,hebei,china,asia,nan,
1205,zhangjiakou,hebei,china,asia,nan,
1206,Sofitel Harbin,heilongjiang,china,asia,(5.0),1885
1207,Mercure Harbin Songbei,heilongjiang,china,asia,(3.5),7
1208,Novotel Daqing Haofang,heilongjiang,china,asia,(4.5),7
1209,Mercure Harbin West Railway Station,heilongjiang,china,asia,nan,
1210,Mercure Harbin Central Street Sophia Church,heilongjiang,china,asia,nan,
1211,daqing,heilongjiang,china,asia,nan,
1212,harbin,heilongjiang,china,asia,nan,
1213,qiqihar,heilongjiang,china,asia,nan,
1214,Mercure Kaifeng North,henan,china,asia,nan,
1215,Mercure Zhumadian West,henan,china,asia,nan,
1216,Novotel Zhengzhou Convention Centre,henan,china,asia,(4.5),212
1217,Sofitel Zhengzhou International,henan,china,asia,(5.0),1857
1218,Novotel Zhengzhou Airport,henan,china,asia,(5.0),59
1219,Mercure Xinyang East Railway Station,henan,china,asia,nan,
1220,Mercure Anyang Downtown,henan,china,asia,nan,
